Data,Importo,Tipo,Descrizione,Categoria
2026-01-01,"6,99",uscita,Netflix,Svago
2026-01-02,"9,99",uscita,Mc del 30/12 contabilizzato a gennaio,Bar/Ristorante
2026-01-04,"29,96",uscita,Cinema per EGF,Svago
2026-01-05,"17,51",uscita,Abbonamento mensile Cursor Pro,Istruzione
2026-01-08,"7,81",uscita,Temu,Svago
2026-01-09,"21,48",uscita,Accessori stampante 3d amazon,Svago
2026-01-09,"6,99",uscita,Regalo papà cami ,Regali
2026-01-14,"73,20",uscita,Autostrada unipolmove,Trasporti
2026-01-15,"72,28",uscita,Benzina ,Trasporti
2026-01-17,"85,13",uscita,Antico oleificio,Bar/Ristorante
2026-01-17,"19,13",uscita,Bennet,Spesa
2026-01-17,"14,06",uscita,Lidl ,Spesa
2026-01-20,"4,50",uscita,Regalo papu,Regali
2026-01-20,"18,00",uscita,Freccette,Svago
2026-01-20,"1921,00",entrata,Stipendio dicembre,Stipendio
2026-01-22,"6,20",uscita,Colazione lavoro,Bar/Ristorante
2026-01-23,"363,00",uscita,Rata auto,Trasporti
2026-01-24,"2,99",uscita,Cloud apple,Svago
2026-01-25,"6,50",uscita,Regalo papu,Regali
2026-01-25,"23,90",uscita,Action,Svago
2026-01-25,"40,00",uscita,Run card,Sport
2026-01-25,"10,00",uscita,Cena papu,Bar/Ristorante
2026-01-25,"10,00",uscita,Palestra royal ,Sport
2026-01-25,"196,78",uscita,Rata stampante ,Svago
2026-01-25,"14,99",uscita,Dartsmind,Svago
2026-01-26,"60,00",uscita,Visita agonistica,Salute
2026-01-28,"131,96",uscita,Voli Napoli,Viaggi
2026-01-31,"32,20",uscita,Lidl,Spesa
2026-02-01,"6,99",uscita,Netflix,Svago
2026-02-01,"10,00",uscita,Regalo Bianca ,Regali
2026-02-04,"299,00",uscita,Assicurazione ,Trasporti
2026-02-05,"20,00",uscita,Ape lavoro,Bar/Ristorante
2026-02-05,"6,00",uscita,Piadina boffa,Bar/Ristorante
2026-02-06,"71,50",uscita,Beato te,Bar/Ristorante
2026-02-08,"42,10",uscita,Roadhouse bergamo,Bar/Ristorante
2026-02-10,"8,00",uscita,The hifolks,Bar/Ristorante
2026-02-12,"56,29",uscita,Benza ,Trasporti
2026-02-14,"65,12",uscita,Benza ,Trasporti
2026-02-14,"10,26",uscita,Macelleria ,Spesa
2026-02-15,"33,00",uscita,Paposce,Bar/Ristorante
2026-02-15,"4,90",uscita,Autostrada unipolmove,Trasporti
2026-02-16,"14,80",uscita,Coperta e pentola,Casa
2026-02-16,"109,00",uscita,Router ,Casa
2026-02-17,"1940,00",entrata,Stipendio gennaio,Stipendio
2026-02-18,"9,00",uscita,Pizza and food Rodi,Bar/Ristorante
2026-02-18,"25,00",uscita,SIM rodi,Casa
2026-02-18,"7,50",uscita,Colazione Illy caffè,Bar/Ristorante
2026-02-20,"27,20",uscita,Spesa rodi,Spesa
2026-02-21,"7,70",uscita,Colazione Illy caffè,Bar/Ristorante
2026-02-22,"4,00",uscita,Up and down,Bar/Ristorante
2026-02-23,"53,00",uscita,Regalo Ele,Regali
2026-02-23,"67,63",uscita,Benzina,Trasporti
2026-02-23,"63,30",uscita,Benzina mamma,Trasporti
2026-02-23,"363,00",uscita,Rata auto,Trasporti
2026-02-26,"196,78",uscita,Rata stampante,Svago
2026-02-27,"15,50",uscita,Up and down,Bar/Ristorante
2026-02-28,"27,97",uscita,Decathlon,Sport
2026-02-28,"46,93",uscita,Esselunga,Spesa
2026-03-01,"6,99",uscita,Netflix,Svago
2026-03-02,"4,99",uscita,Too good to go,Spesa
2026-03-03,"34,00",uscita,Spettacolo teocolo (anticipo),Svago
2026-03-05,"7,74",uscita,Iperal,Spesa
2026-03-07,"40,80",uscita,Svakka,Bar/Ristorante
2026-03-07,"18,12",uscita,Lidl,Spesa
2026-03-08,"27,98",uscita,Primor,Salute
2026-03-08,"9,40",uscita,Yogurteria,Bar/Ristorante
2026-03-08,"20,00",uscita,Up and down,Bar/Ristorante
2026-03-08,"95,73",uscita,Regalo Ele,Regali
2026-03-09,"21,96",uscita,Claude,Istruzione
2026-03-10,"15,98",uscita,Cinema,Svago
2026-03-10,"9,50",uscita,Pop corn cinema,Spesa
